                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.4379,                 1.7575,                  1.949,                0.62776,                0.45837,                  0.424,                 0.2411,                 1.7409,                 2.1238,                  2.602,               0.001189,               0.001189,               0.001189
                     91,                 1.3991,                 1.7874,                 1.9265,                0.58965,                0.45972,                0.42266,                0.24519,                 1.7391,                 2.1126,                 2.6102,                0.00109,                0.00109,                0.00109
                     92,                 1.4293,                 1.7875,                 1.9355,                0.63262,                0.44768,                0.42274,                0.24471,                 1.7293,                 2.1305,                 2.6139,               0.000991,               0.000991,               0.000991
                     93,                 1.4159,                 1.7875,                 1.9269,                0.65508,                0.44327,                0.42532,                0.24292,                 1.7328,                 2.1219,                 2.6246,               0.000892,               0.000892,               0.000892
                     94,                 1.3868,                 1.7248,                 1.9101,                0.67903,                0.43432,                0.42165,                0.24116,                  1.724,                 2.1106,                 2.6134,               0.000793,               0.000793,               0.000793
                     95,                 1.4059,                 1.7996,                 1.9334,                0.68639,                 0.4368,                0.42149,                0.24592,                 1.7262,                 2.0969,                 2.6032,               0.000694,               0.000694,               0.000694
                     96,                 1.4317,                 1.8099,                 1.9365,                 0.6769,                0.43227,                0.42099,                0.24714,                 1.7273,                 2.1051,                 2.6034,               0.000595,               0.000595,               0.000595
                     97,                  1.348,                 1.7191,                 1.8832,                0.62859,                0.44229,                0.41762,                0.24575,                 1.7165,                 2.1189,                 2.5972,               0.000496,               0.000496,               0.000496
                     98,                 1.3941,                 1.7436,                 1.9069,                0.62541,                0.44213,                  0.421,                0.24791,                 1.7149,                 2.1259,                 2.6008,               0.000397,               0.000397,               0.000397
                     99,                 1.3856,                 1.7127,                 1.9088,                0.63293,                0.44931,                0.42558,                0.24986,                 1.7172,                 2.1252,                 2.6111,               0.000298,               0.000298,               0.000298
